;Район;Cena;LnCena;CenaM;Nkomnat;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;Tel
250;Ленинский;56000;10.9331069697;1057;3;53;3.9702919136;35;3.5553480615;6;1.7917594692;1;0;1
251;Ленинский;105000;11.5617156291;1944;2;54;3.9889840466;35;3.5553480615;8.7;2.1633230257;0;1;1
252;Первомайский;170000;12.043553716;2429;2;70;4.248495242;35;3.5553480615;14;2.6390573296;0;0;1
253;Партизанский;53000;10.8780471925;994;2;53.3;3.9759363312;35.4;3.5667118201;7;1.9459101491;0;1;0
254;Фрунзенский;74000;11.2118203722;1138;3;65;4.1743872699;35.5;3.5695326965;8;2.0794415417;0;1;0
255;Первомайский;205000;12.2307652581;3213;2;63.8;4.1557531904;36;3.5835189385;11.7;2.4595888418;0;1;1
256;Фрунзенский;83000;11.3265958868;1122;2;74;4.3040650932;36;3.5835189385;11;2.3978952728;0;0;0
257;Фрунзенский;77000;11.2515607008;1027;2;75;4.3174881135;36;3.5835189385;11;2.3978952728;1;0;1
258;Фрунзенский;78000;11.2644641057;1114;2;70;4.248495242;36;3.5835189385;12;2.4849066498;0;0;1
259;Первомайский;110000;11.6082356448;1565;2;70.3;4.2527717988;36.2;3.5890591188;15.2;2.7212954279;0;1;1
260;Ленинский;90000;11.4075649493;1475;2;61;4.1108738642;37;3.6109179126;8;2.0794415417;1;1;1
261;Советский;82000;11.3144745262;1302;3;63;4.1431347264;37;3.6109179126;9;2.1972245773;1;0;1
262;Первомайский;60000;11.0020998412;1119;2;53.6;3.9815490681;37.6;3.6270040504;6.2;1.8245492921;0;0;1
263;Ленинский;160000;11.9829290942;2857;2;56;4.0253516907;38;3.6375861597;6.5;1.8718021769;0;1;1
264;Ленинский;160000;11.9829290942;2857;2;56;4.0253516907;38;3.6375861597;6.5;1.8718021769;0;1;1
265;Октябрьский;88000;11.3850920935;1333;3;66;4.189654742;38;3.6375861597;9;2.1972245773;0;0;1
266;Советский;98000;11.4927227577;1307;2;75;4.3174881135;38;3.6375861597;10.4;2.3418058061;0;0;0
268;Партизанский;114000;11.6439537274;1900;2;60;4.0943445622;39;3.6635616461;8;2.0794415417;0;1;1
269;Ленинский;98000;11.4927227577;1361;3;72;4.276666119;40;3.6888794541;10;2.302585093;1;1;1
270;Октябрьский;100000;11.512925465;1515;3;66;4.189654742;40;3.6888794541;9;2.1972245773;0;1;1
271;Партизанский;140000;11.8493977016;1867;3;75;4.3174881135;40;3.6888794541;11;2.3978952728;1;1;1
272;Советский;90000;11.4075649493;1385;3;65;4.1743872699;40;3.6888794541;9;2.1972245773;0;1;1
273;Фрунзенский;71000;11.170435156;1268;2;56;4.0253516907;40;3.6888794541;9;2.1972245773;0;0;0
274;Центральный;340000;12.7367008966;4742;2;71.7;4.2724907476;40;3.6888794541;11;2.3978952728;0;1;1
275;Октябрьский;57000;10.9508065468;983;3;58;4.0604430105;41;3.7135720667;6;1.7917594692;1;0;1
276;Центральный;125000;11.7360690163;1894;3;66;4.189654742;41;3.7135720667;8.4;2.1282317058;0;1;0
278;Фрунзенский;79000;11.2772031314;1152;3;68.6;4.2282925347;41.9;3.7352858269;7.2;1.974081026;0;0;0
279;Заводской;62500;11.0429218357;1030;3;61;4.1108738642;42;3.7376696183;8.6;2.1517622033;1;1;1
280;Советский;250000;12.4292161968;3472;3;72;4.276666119;42;3.7376696183;10;2.302585093;1;1;1
281;Центральный;185000;12.1281111041;2534;3;73;4.2904594411;42;3.7376696183;14;2.6390573296;0;1;1
282;Центральный;125000;11.7360690163;1603;3;78;4.3567088267;42;3.7376696183;9.6;2.2617630985;0;0;1
283;Первомайский;82000;11.3144745262;1262;3;65;4.1743872699;42.2;3.742420221;7.2;1.974081026;0;0;1
284;Ленинский;125000;11.7360690163;1786;3;70;4.248495242;43;3.7612001157;8;2.0794415417;1;1;1
285;Партизанский;160000;11.9829290942;2353;3;68;4.2195077052;43;3.7612001157;9;2.1972245773;0;1;1
286;Первомайский;90000;11.4075649493;1406;3;64;4.1588830834;43;3.7612001157;7;1.9459101491;0;0;1
287;Первомайский;80000;11.2897819137;1231;3;65;4.1743872699;43;3.7612001157;7.2;1.974081026;1;0;0
288;Советский;85000;11.3504065355;1349;3;63;4.1431347264;43;3.7612001157;7;1.9459101491;0;0;1
289;Советский;133000;11.7981044072;1956;3;68;4.2195077052;43;3.7612001157;9;2.1972245773;0;1;0
290;Фрунзенский;77000;11.2515607008;1203;3;64;4.1588830834;43;3.7612001157;7;1.9459101491;0;0;1
291;Фрунзенский;68000;11.1272629842;1147;3;59.3;4.082609306;43;3.7612001157;6;1.7917594692;0;0;1
292;Фрунзенский;75000;11.2252433925;1190;3;63;4.1431347264;43;3.7612001157;7;1.9459101491;0;0;1
293;Фрунзенский;75000;11.2252433925;1119;3;67;4.2046926194;43;3.7612001157;7;1.9459101491;0;0;1
294;Центральный;90000;11.4075649493;1406;3;64;4.1588830834;43;3.7612001157;7;1.9459101491;0;0;1
295;Московский;75000;11.2252433925;1192;3;62.9;4.1415461637;43.2;3.7658404953;9.2;2.2192034841;0;0;1
296;Советский;109000;11.5991031612;1535;3;71;4.262679877;43.3;3.768152635;9.05;2.2027647577;0;0;1
297;Московский;82500;11.3205535723;1307;3;63.13;4.1451960924;43.41;3.7706898293;7.11;1.9615022438;0;0;1
298;Советский;95000;11.4616321706;1498;3;63.42;4.1497792691;43.57;3.7743688401;7.23;1.9782390362;0;0;1
299;Фрунзенский;89000;11.3963916487;1249;3;72;4.276666119;43.8;3.7796338174;9.32;2.2321626287;0;0;1
300;Ленинский;89000;11.3963916487;1203;3;74;4.3040650932;44;3.7841896339;10;2.302585093;0;0;1
301;Фрунзенский;86000;11.3621025752;1344;3;64;4.1588830834;44;3.7841896339;7;1.9459101491;0;0;1
302;Фрунзенский;99900;11.5119249646;1388;3;72;4.276666119;44;3.7841896339;11.5;2.4423470354;0;0;1
303;Фрунзенский;105000;11.5617156291;1265;3;83;4.4188406078;44;3.7841896339;12;2.4849066498;0;1;0
304;Фрунзенский;110000;11.6082356448;1163;3;94.6;4.5496574761;44.5;3.7954891892;13;2.5649493575;1;0;0
305;Московский;179000;12.0951410848;2238;3;80;4.3820266347;44.8;3.8022081394;14.1;2.6461747974;0;0;0
306;Московский;50000;10.8197782844;877;1;57;4.0430512678;45;3.8066624898;9;2.1972245773;0;0;1
307;Московский;94700;11.4584692792;1334;3;71;4.262679877;45;3.8066624898;10;2.302585093;0;0;1
308;Октябрьский;53000;10.8780471925;1000;2;53;3.9702919136;45;3.8066624898;7.5;2.0149030205;0;1;1
309;Московский;170000;12.043553716;2191;3;77.6;4.3515674272;46;3.8286413965;13.5;2.6026896854;0;1;1
310;Октябрьский;95000;11.4616321706;1397;3;68;4.2195077052;46;3.8286413965;7;1.9459101491;0;0;1
311;Октябрьский;90000;11.4075649493;1200;3;75;4.3174881135;46;3.8286413965;7.5;2.0149030205;1;1;1
312;Партизанский;145000;11.8844890214;1908;3;76;4.3307333403;46;3.8286413965;12;2.4849066498;0;1;1
313;Партизанский;72000;11.184421398;1167;3;61.7;4.1222839309;46;3.8286413965;6;1.7917594692;1;0;0
314;Первомайский;72500;11.1913418408;1189;3;61;4.1108738642;46;3.8286413965;6.2;1.8245492921;1;1;1
315;Советский;150000;11.9183905731;1899;3;79;4.3694478525;46;3.8286413965;10;2.302585093;0;1;1
316;Фрунзенский;74000;11.2118203722;1147;3;64.5;4.1666652238;46;3.8286413965;7.5;2.0149030205;0;0;1
317;Ленинский;190000;12.1547793511;2490;3;76.32;4.3349350271;46.2;3.8329797981;7.13;1.9643112344;0;1;1
318;Фрунзенский;118000;11.6784399034;1573;3;75;4.3174881135;46.8;3.8458832029;9.5;2.2512917986;1;0;1
319;Заводской;83000;11.3265958868;1078;1;77;4.3438054219;47;3.8501476017;10;2.302585093;0;0;0
320;Фрунзенский;70000;11.156250521;1077;3;65;4.1743872699;47;3.8501476017;7;1.9459101491;0;0;1
322;Октябрьский;75000;11.2252433925;1111;3;67.5;4.2121275979;47.8;3.8670256395;7.1;1.960094784;1;0;1
323;Фрунзенский;103000;11.5424842672;1108;3;93;4.5325994932;48;3.8712010109;12;2.4849066498;0;0;1
324;Центральный;125000;11.7360690163;1359;3;92;4.521788577;48;3.8712010109;22;3.0910424534;1;0;0
325;Фрунзенский;71000;11.170435156;1086;3;65.4;4.1805222585;48.2;3.8753590211;7.5;2.0149030205;1;0;1
326;Советский;97000;11.4824662575;1252;4;77.5;4.3502779364;48.96;3.8910036382;7.22;1.9768549529;0;0;1
327;Московский;120000;11.6952470218;1165;3;103;4.6347289882;49;3.8918202981;12;2.4849066498;0;1;0
328;Первомайский;108000;11.5898865061;1500;3;72;4.276666119;49;3.8918202981;10;2.302585093;1;1;1
329;Фрунзенский;107000;11.5805841134;1646;3;65;4.1743872699;49;3.8918202981;7;1.9459101491;0;0;1
331;Первомайский;205000;12.2307652581;2158;3;95;4.5538768916;50;3.9120230054;17;2.8332133441;1;1;1
332;Фрунзенский;110000;11.6082356448;1393;3;79;4.3694478525;50;3.9120230054;11;2.3978952728;0;0;1
333;Центральный;152000;11.9316357998;1448;2;105;4.6539603502;50;3.9120230054;18;2.8903717579;0;1;1
334;Центральный;152000;11.9316357998;1448;2;105;4.6539603502;50;3.9120230054;18;2.8903717579;0;1;1
335;Фрунзенский;90000;11.4075649493;1098;3;82;4.4067192473;51;3.9318256327;10;2.302585093;0;0;1
336;Фрунзенский;93000;11.4403547721;1192;4;78;4.3567088267;51;3.9318256327;9;2.1972245773;0;0;1
338;Фрунзенский;118000;11.6784399034;1490;3;79.2;4.3719762988;51.6;3.9435216725;10.5;2.3513752572;1;0;1
339;Центральный;175000;12.0725412529;2244;3;78;4.3567088267;51.7;3.9454577815;14;2.6390573296;0;1;1
340;Московский;143000;11.8705999092;1723;3;83;4.4188406078;52;3.9512437186;13;2.5649493575;0;1;0
341;Центральный;140000;11.8493977016;1591;4;88;4.4773368145;52;3.9512437186;18;2.8903717579;0;1;1
342;Фрунзенский;145000;11.8844890214;1762;4;82.3;4.4103711077;52.7;3.9646154555;7.1;1.960094784;0;0;1
343;Партизанский;147000;11.8981878658;2000;3;73.5;4.2972854062;52.9;3.9684033389;6.1;1.8082887712;0;1;1
344;Московский;78000;11.2644641057;975;4;80;4.3820266347;53;3.9702919136;7;1.9459101491;1;0;1
345;Центральный;135000;11.8130300574;1627;4;83;4.4188406078;53;3.9702919136;8.6;2.1517622033;1;1;1
346;Московский;98000;11.4927227577;1250;4;78.4;4.3618239274;53.2;3.9740583963;7.1;1.960094784;0;0;1
347;Октябрьский;98000;11.4927227577;1279;4;76.62;4.3388581393;53.67;3.9828541862;7.12;1.9629077254;0;1;1
348;Советский;138000;11.8350089641;1426;3;96.8;4.5726469943;54;3.9889840466;13;2.5649493575;0;0;0
349;Фрунзенский;87000;11.3736633976;1115;4;78;4.3567088267;54;3.9889840466;7;1.9459101491;0;0;1
350;Фрунзенский;95000;11.4616321706;1218;4;78;4.3567088267;54;3.9889840466;7.2;1.974081026;0;0;1
352;Центральный;130000;11.7752897294;1512;4;86;4.4543472963;54.6;4.0000338828;7.3;1.9878743482;0;0;1
353;Центральный;160000;11.9829290942;2078;3;77;4.3438054219;55;4.0073331852;7;1.9459101491;0;1;1
354;Партизанский;170000;12.043553716;1700;3;100;4.605170186;55.5;4.0163830208;15.2;2.7212954279;0;0;0
355;Московский;79000;11.2772031314;986;4;80.1;4.3832758541;55.8;4.0217738694;7.2;1.974081026;1;0;1
356;Октябрьский;67000;11.1124478984;870;3;77;4.3438054219;56;4.0253516907;10;2.302585093;0;0;0
357;Партизанский;168000;12.0317192584;1627;3;110;4.7004803658;56;4.0253516907;17;2.8332133441;0;0;0
358;Ленинский;131000;11.7829526022;1294;3;101.2;4.6170987569;57;4.0430512678;11.2;2.4159137783;0;1;0
359;Фрунзенский;131000;11.7829526022;926;4;141.5;4.9522997171;57.4;4.0500443033;17.2;2.8449093838;1;0;0
360;Центральный;290000;12.577636202;2413;3;120.2;4.7891570221;57.6;4.0535225677;13.4;2.595254707;0;0;0
361;Советский;199000;12.2010601037;2008;3;99.1;4.5961294413;59;4.0775374439;17;2.8332133441;0;1;0
362;Октябрьский;265000;12.487485105;2944;4;90;4.4998096703;60;4.0943445622;12;2.4849066498;0;1;1
363;Центральный;125000;11.7360690163;1359;4;92;4.521788577;60;4.0943445622;10;2.302585093;1;0;0
364;Советский;190000;12.1547793511;2028;3;93.7;4.5400981892;62;4.127134385;12;2.4849066498;0;1;0
365;Первомайский;226000;12.3282902783;2108;3;107.2;4.6746962486;62.5;4.1351665567;20.6;3.0252910758;0;1;0
366;Фрунзенский;199900;12.2055725205;1931;4;103.5;4.6395716127;63.5;4.1510399059;10.5;2.3513752572;0;1;1
367;Центральный;330000;12.7068479334;3134;3;105.3;4.6568134191;65.3;4.1789920363;11.2;2.4159137783;1;0;1
368;Центральный;211000;12.2596134125;1702;3;124;4.8202815656;67;4.2046926194;14.7;2.6878474938;1;0;0
369;Советский;171000;12.0494188355;1479;4;115.6;4.7501359562;68.3;4.2239097666;19.6;2.9755295662;0;1;0
370;Партизанский;200000;12.2060726455;1887;4;106;4.6634390941;69;4.2341065046;8;2.0794415417;0;1;1
371;Первомайский;405000;12.9116423461;2626;3;154.2;5.0382504611;70.8;4.2598590007;23.8;3.1696855807;0;1;1
372;Октябрьский;158000;11.970350312;1254;3;126;4.836281907;71;4.262679877;30.6;3.421000009;1;1;1
373;Фрунзенский;175500;12.0753943219;1350;4;130;4.8675344505;71;4.262679877;12;2.4849066498;1;0;1
375;Октябрьский;195000;12.1807548375;1726;4;113;4.7273878187;72;4.276666119;10;2.302585093;0;0;1
376;Советский;177600;12.0872891095;1370;4;129.6;4.8644527839;74.5;4.3107991254;14.6;2.6810215287;1;1;0
377;Советский;150000;11.9183905731;1181;3;127;4.8441870865;80;4.3820266347;16;2.7725887222;0;1;0
378;Ленинский;100000;11.512925465;1136;3;88;4.4773368145;81;4.3944491547;6;1.7917594692;0;1;1
379;Первомайский;390000;12.8739020181;2151;4;181.3;5.2001531178;86.5;4.4601444139;26.4;3.2733640102;0;1;1
380;Первомайский;270000;12.506177238;1996;3;135.3;4.9074945352;88;4.4773368145;20.2;3.0056826044;1;1;1
381;Центральный;276000;12.5281561447;2000;4;138;4.9272536852;88.6;4.4841318576;14.2;2.6532419646;0;0;0
382;Ленинский;160000;11.9829290942;1584;3;100;4.605170186;95;4.5538768916;6;1.7917594692;0;0;0
383;Советский;399000;12.8967166959;1975;4;202;5.3082676974;100;4.605170186;16;2.7725887222;1;1;1
384;Ленинский;225900;12.3278477025;1500;4;150.6;5.0146273154;102.1;4.6259527252;12.2;2.5014359517;1;0;0
385;Первомайский;225000;12.3238556812;1500;4;150;5.0106352941;110;4.7004803658;20;2.9957322736;0;1;0
386;Советский;353000;12.7742233359;1801;4;196;5.2781146592;117;4.7621739348;22;3.0910424534;0;1;1
387;Фрунзенский;59500;10.9937315915;1266;2;47;3.8501476017;28.07;3.3347013904;7.2;1.974081026;1;0;1
